supplier_id,company_name,contact_name,email,phone,address,city,state,country,industry,rating,contract_start_date
25,Schroeder-Davis,Sarah Nunez,frankangela@brock.net,001-286-661-2194x343,37790 Thomas Forks Apt. 270,Tamaraland,CA,Faroe Islands,Packaging,4.8,2024-02-21
26,Arnold-Patel,Andrea Gibson,michaelmontgomery@navarro-keith.com,884-564-5331,007 Angela Island Suite 201,Port Catherine,NV,Poland,Textiles,4.4,2022-01-27
27,Johnson and Sons,William Peters,nvilla@simmons.com,(305)452-3818x17993,8330 Amanda Road Apt. 051,New Bradley,KY,Spain,Manufacturing,3.6,2026-01-29
28,"Williams, Webb and Adams",Stephen Jones,bradley77@jenkins.com,849.967.4015x933,79059 Frederick Extensions Apt. 373,Valenciaport,GA,Dominican Republic,Packaging,1.3,2025-09-09
29,Baird PLC,Anthony Serrano,ccollins@holland.biz,+1-864-621-0463,962 Ryan Extension Suite 275,Catherineview,AL,Tajikistan,Textiles,2.0,2022-11-23
30,Wagner LLC,William Jefferson II,michael65@acevedo.com,840-680-0929,0140 Kenneth Road,Amybury,MA,Belarus,Technology,3.3,2023-09-18
31,"Marks, Barnett and Cox",Dana Parker,jonesrobert@reed.com,(255)223-2671,6315 Joseph Wall Suite 900,Allisonbury,NJ,Dominican Republic,Technology,2.6,2024-07-30
32,Sexton Ltd,Pamela Bryant,jill87@combs.com,306.461.7202x325,964 Scott Oval,East Meganton,SC,Monaco,Wholesale,4.5,2021-09-23
33,Ramos-Thomas,Michelle Hall DDS,derekvaughan@johnson.com,001-354-393-1046x578,87491 Stephanie Trafficway,West Albertland,VA,Oman,Import/Export,2.0,2023-10-26
34,"Griffin, Warren and Moore",Melissa Walker,zacharyriley@pierce-hayes.com,(540)474-2262,4987 James Garden,Lake Joshuaside,MH,Saint Pierre and Miquelon,Agriculture,2.1,2021-12-21
35,"Turner, Fuller and Cisneros",Angela Jackson,tony77@mendez.com,7258091470,709 Castillo Dam,West Josephberg,VA,Senegal,Distribution,2.5,2024-04-14
36,"Raymond, Buchanan and Collins",Amy Howard DVM,estradamatthew@chapman-gonzalez.info,001-834-616-1720,598 Crystal Corners Apt. 265,Lake David,KS,Niue,Distribution,1.5,2022-06-02
37,"Lopez, Porter and Obrien",Faith Moore,kristin33@mosley-harris.com,001-761-713-8410x684,98420 Alvarez Extensions Apt. 998,East Margaret,KY,Brunei Darussalam,Packaging,2.4,2025-10-28
38,Mccall-Mathews,Jody Ramirez,douglasmorris@rodriguez-mckinney.org,395.244.4149x807,8700 Kelly Hills Suite 786,Port Timothyside,PA,Uzbekistan,Import/Export,1.9,2025-11-18
39,"Murphy, Davis and Gomez",Tamara Jones,cmartinez@ford.com,+1-817-699-0208x6329,06607 Jill Loaf Apt. 140,Port Tylermouth,AS,Honduras,Raw Materials,4.3,2021-04-09
40,Anderson-Harris,Catherine Frye,wilkersondavid@suarez.com,6157402379,3219 Amanda Brook,Esteston,HI,Denmark,Import/Export,1.4,2022-12-16
41,Porter Group,Destiny Leblanc,nhanna@curtis-wiggins.net,(584)700-7323x170,82246 Joyce Point,Port Brandonton,PR,Tanzania,Distribution,1.5,2022-11-17
42,Wilson-Williams,Todd Lawson,buchananjonathan@reyes.com,3128030432,07156 Justin Springs Suite 066,West Phillip,TN,Indonesia,Technology,2.1,2025-09-08
43,Flynn and Sons,Brian Roth,brandontanner@adams.net,(363)290-2814x06784,99716 Brian Ramp Suite 498,West Ginaborough,SC,Tajikistan,Chemicals,4.2,2022-03-15
44,Lawrence LLC,Anna Rose,tmorris@ballard.com,505-275-7764x1990,53327 Aguilar Mount,Wilsonstad,NM,Syrian Arab Republic,Technology,4.1,2024-07-12
45,Monroe Group,Adam Preston,sharon07@french.com,781.774.3857,9709 Perez Shore Suite 013,Stephaniefort,GA,Hong Kong,Import/Export,1.7,2024-03-22
46,Dalton Inc,Gail Graham,calhounnancy@compton.com,+1-658-412-3450x7245,446 Green Gateway,Toddberg,IL,Afghanistan,Distribution,3.4,2025-02-19
47,Johnson-Mack,David Hampton,hrodriguez@foster.biz,(539)669-1961,629 Benjamin Courts Apt. 734,Santanaborough,KY,Palau,Wholesale,1.9,2025-06-20
48,Vang Ltd,Katelyn Curtis,mhill@baxter.net,272-540-5633x03250,4716 Kristine Forge Apt. 421,New Whitney,TX,Venezuela,Wholesale,2.6,2026-01-26
49,"Mitchell, Alexander and Collins",Jose Bell,cynthiacampbell@downs.info,755.550.3756x730,3856 Johnson Loop,West Lisaside,OK,Uruguay,Manufacturing,3.7,2021-06-02
50,"Mcguire, Davis and Martin",Katie Hicks,keithcarr@jordan-huff.com,(536)225-8975x340,1871 William Springs,New Kaitlinfort,DE,Ukraine,Packaging,3.5,2022-04-15
51,Sanford-Everett,Tyler Smith,briana17@cruz-fischer.net,001-203-445-9099x6902,86226 Allen Ranch Apt. 582,Jacksonstad,GA,Christmas Island,Raw Materials,2.8,2022-09-18
52,"Waller, Hansen and Sanchez",Cheryl Vargas,amanda09@jones.org,001-249-486-3196x3741,1784 Christopher Squares Apt. 472,Stephenmouth,MI,Norway,Raw Materials,4.0,2022-06-24
53,Williams Ltd,Jodi Allen,larry96@archer-allen.biz,330.847.0813x2716,7945 Samuel Fields Apt. 601,West Nicholas,ID,Lao People's Democratic Republic,Chemicals,2.6,2024-06-19
54,Campbell and Sons,Cameron Ferrell,duanenelson@sweeney.net,(437)556-0018,99293 Adams Glens Suite 448,West Mitchellchester,MP,Ethiopia,Packaging,4.8,2022-09-22
55,"Williams, Ramirez and Jackson",Alexis Smith,bryan96@evans.com,+1-782-674-0780x493,12454 Parker Highway,East Angelicamouth,IA,Denmark,Packaging,3.2,2024-04-29
56,Humphrey PLC,Ryan Hall,tonyabuck@brooks.com,+1-390-868-9343x365,881 Velasquez Camp,Brownstad,GA,Slovenia,Chemicals,2.7,2023-04-13
57,Nguyen-Pearson,Tammy Valdez,samantha73@wright-moore.com,313.810.3855,19534 Weber Green,East Brandi,VT,Nauru,Raw Materials,3.0,2023-01-07
58,Lopez and Sons,Dr. Donna Mccarthy,sarah99@chan.com,581-893-6651,0494 Ryan Mews Suite 347,Wheelerton,ND,San Marino,Wholesale,2.7,2023-11-27
59,Myers LLC,Deborah Farrell,hernandezlauren@savage.com,384-511-7360x6898,09477 Waters Stravenue,New Sara,KY,Faroe Islands,Chemicals,2.4,2025-02-16
60,"Shaffer, Andrews and Williams",Steven Black,thompsonbrian@richards-johnson.org,5315793111,59694 Smith Run Suite 204,Goldentown,PW,Dominican Republic,Packaging,1.1,2022-04-21
61,Williamson-Baker,Sabrina Randall,rebeccamiller@harris.com,001-932-250-5148x677,90503 Maureen Knolls,Cameronton,FM,South Georgia and the South Sandwich Islands,Agriculture,3.0,2021-06-16
62,"Gray, Smith and Gregory",Tina Day,obonilla@jackson-hayes.com,001-289-638-1615x48978,0194 Sarah River,Lake Regina,KY,Australia,Raw Materials,4.7,2025-07-19
63,"Lewis, Morgan and Alvarez",Angel Cooke,terrence21@jensen.com,6666248205,410 Amber Stream Apt. 328,Lake Deborahhaven,GA,Bangladesh,Technology,3.8,2025-09-20
64,"Mcguire, Townsend and Wolf",Robert Collins,sarahhanson@hansen.info,534.528.1987x7603,1630 Devon Mall,Lake James,MH,Germany,Packaging,1.4,2022-04-24
65,"Potts, Anderson and Thompson",Sara Miranda,moorecaroline@trevino.com,6446026647,573 Stacie Shoals,South Brandy,CA,Belgium,Chemicals,2.1,2022-06-11
66,"Love, Willis and Rivera",Paul Rice,fstewart@johnson.com,+1-467-957-3896x7185,2751 Whitehead Road,Jesusshire,GA,Netherlands,Technology,2.8,2023-10-18
67,Reed-Nelson,Jacqueline Morris,davidadams@schultz.com,+1-854-211-4434x895,5020 Arthur Island Apt. 084,Davidhaven,PA,Lebanon,Packaging,1.9,2024-12-11
68,"Thompson, Price and Mcpherson",Steven Martin,yshelton@estrada.biz,001-529-939-0818x72991,93062 Danielle Heights Apt. 601,South John,WY,Bangladesh,Manufacturing,3.0,2023-06-22
69,Madden-Williams,Kelly Watts,barajasbrian@watson.net,+1-522-638-5364x082,91591 Thomas Gateway,Deborahborough,CO,Hungary,Chemicals,2.1,2023-07-16
70,"Williams, Montoya and Escobar",Lisa Todd,jacksonsteven@suarez.com,968.894.1273x014,2425 Darlene Mill Suite 799,Jamesland,WI,British Virgin Islands,Import/Export,2.4,2023-10-31
71,Lewis-Burns,David Novak,rwest@butler.com,883.767.7471,13429 Leach Overpass,Ashleyshire,DE,Barbados,Manufacturing,2.4,2021-11-14
72,"Andrews, Parker and Hardin",Kimberly Hampton,lewiszachary@cooper.com,+1-364-455-8448,97651 Christine Ramp Apt. 854,North John,MP,Philippines,Import/Export,3.9,2023-05-26
73,Lutz-Diaz,Zoe Allen,whiteryan@leonard.net,265-834-1416x42130,004 Gregory Stravenue,West Ronald,IN,Cameroon,Technology,2.2,2021-10-03
74,"Ibarra, Jones and Rice",Kenneth Johnson,raypaul@marshall.biz,001-903-910-1236x30618,34515 Connor Vista,Port Sharonton,NJ,Bahamas,Textiles,1.2,2024-05-25
75,Bennett Ltd,Robert Gomez,christy87@white-gordon.com,001-501-797-8781x071,16044 Justin Passage Suite 947,New Christinemouth,HI,Uruguay,Technology,3.4,2021-11-05
76,Terry-Lindsey,Richard Murphy,ryan62@reed-liu.com,8545357796,49539 Kimberly Pike,West Justinfort,TX,Christmas Island,Import/Export,3.6,2023-01-06
77,Wagner and Sons,Phillip Kim,lgillespie@weber-nelson.org,401.665.7958x615,6656 Cindy Trafficway,Richardmouth,CO,Turkmenistan,Technology,1.5,2022-04-03
78,"Taylor, Murphy and Morrison",Kayla Choi,iwebb@sullivan.com,+1-388-944-3562x8673,4132 Cannon Radial,West Kellystad,MO,Saudi Arabia,Distribution,3.6,2021-09-08
79,"Mcclain, Tate and Steele",Ashley Martinez,pbaird@morrison.com,(780)349-7608x544,920 Cox Island Suite 518,Westside,MO,Dominican Republic,Manufacturing,2.9,2025-05-18
80,Perez and Sons,Jamie Miller,abarrett@miller.org,825.788.6584,317 Mark Ports Suite 723,West Johnside,NE,Bhutan,Distribution,1.9,2025-09-30
81,"Aguilar, Miller and Manning",Kayla Rodriguez,ochavez@smith.org,+1-297-408-2492,327 Kimberly Views Suite 747,Tuckerville,VI,Croatia,Agriculture,1.5,2023-07-07
82,Logan Group,Victoria Byrd DDS,kelly89@benitez-roy.info,2179757715,669 Hannah Park Apt. 679,West Josefurt,RI,Sao Tome and Principe,Raw Materials,5.0,2024-08-06
83,Bishop-Olson,Daniel Ball,megansharp@irwin.com,(847)982-7192x7926,0226 Good Corners Apt. 786,West Sara,NV,Sri Lanka,Textiles,4.9,2022-05-25
84,"Kaufman, Miller and Harmon",Alison Jones,aarongraham@jones-green.com,001-314-452-8147x8914,137 Smith Burg Apt. 733,Steventon,AZ,Cote d'Ivoire,Import/Export,2.8,2021-12-04
85,"Barrett, Serrano and Glass",Erin Gonzales,tylerayala@ingram.com,(355)334-6774x69822,9625 Margaret Walk,East Andrew,AZ,Guernsey,Chemicals,1.2,2024-04-06
86,"Mathews, Clark and Steele",Anna Campbell,brenda72@forbes.net,(562)254-0255,66525 Walker Motorway,Cowanview,NE,Bermuda,Agriculture,4.0,2025-10-22
87,Keith-Smith,Jennifer Arellano,wandaallen@daniels.com,2485380637,4464 Pope Prairie,Bullockside,MO,Tajikistan,Distribution,3.8,2022-08-21
88,"Harris, Jackson and Martinez",Christine Foster,hlucas@hoffman.info,001-775-340-1518,545 Rivera Ports Apt. 995,Ashleyport,WA,Brunei Darussalam,Packaging,2.6,2021-10-21
89,Reynolds-Sanchez,Jerry Allen,ktran@mcintyre.com,414.814.1625x022,987 Meyer Well,Veronicaburgh,MS,Philippines,Agriculture,1.2,2024-07-23
90,"Collins, Fields and Lopez",Christopher West,jaime52@olsen.com,506-341-4216x715,4078 Michael Locks,Cynthiaville,VA,Ukraine,Manufacturing,3.6,2023-02-16
91,"Hayes, Hogan and Smith",Mrs. Theresa Weiss,samantha59@kirby.com,+1-402-235-8081x389,22679 Frank Vista,South Amandaland,CA,Turks and Caicos Islands,Technology,2.0,2022-05-25
92,Huang Inc,Edwin Zavala,thomasalvarez@duncan.org,001-550-570-7695,85043 Russo Park Apt. 564,Rodriguezside,MT,Seychelles,Agriculture,2.4,2021-08-11
93,"Sullivan, Watson and Brewer",Kevin Smith,dbranch@garza.com,001-635-387-0486,0760 Brittany Street Apt. 162,Cisnerosborough,AS,Cook Islands,Packaging,1.2,2021-05-18
94,Jackson-Wilson,Tammy Campbell,kayleemoore@ward.com,9984732572,49180 Mays Village Apt. 563,North Nicholasberg,MT,Eritrea,Technology,1.5,2021-11-17
95,"Calderon, Martin and English",Erin Jones,scottjesse@guzman.com,(227)667-0039,99721 Kristen Creek,New Allen,AL,New Zealand,Distribution,4.9,2025-11-26
96,Keith-Brown,Catherine Mendoza,fcameron@lopez.org,784-386-6533x402,1046 Samantha Prairie Suite 739,South Christian,SD,American Samoa,Packaging,2.8,2023-03-09
97,Jenkins-Gonzalez,Michael Hale,aliciamccarthy@kline.com,(496)876-1742x29533,841 Jackson Hills Apt. 861,Chadfort,NH,Lao People's Democratic Republic,Import/Export,2.2,2023-07-16
98,Lee-Maldonado,Melissa Blackwell,danielle76@hendricks.org,2052193372,8598 Joshua Land,West Mark,NY,Isle of Man,Raw Materials,2.5,2025-12-31
99,"Wilson, Curtis and Greene",Keith Cole,johnsoncrystal@serrano-clark.info,829.842.0984x411,73645 Johnson Stravenue Suite 969,Gregoryhaven,NH,Ecuador,Agriculture,2.7,2021-10-29
100,Pearson-Jenkins,Lonnie Gonzalez,elizabethharrington@lynn.com,+1-401-951-6900x5056,48637 Cook Pike,North Robinview,NC,Peru,Raw Materials,2.7,2025-07-02
101,Evans-Miller,Cheryl Peterson,michael90@henry-hudson.biz,001-240-822-7439x1916,6021 Bailey Highway Apt. 007,Lake Alexandria,VT,Guatemala,Manufacturing,3.0,2022-11-10
102,Davis PLC,Tara Baxter,ambermejia@schmidt.com,+1-864-489-4648x7818,02627 Brown Way,Alvaradofort,TX,China,Chemicals,1.1,2022-10-02
103,Riley-Jacobson,Christy Leonard,tinaroman@bass.com,325.209.7013,48451 Lewis Estates Apt. 335,Sarahfurt,NY,Dominica,Raw Materials,4.3,2023-10-09
104,Gamble Inc,Kevin Meyer,samanthahiggins@reese.org,001-298-858-1648x553,984 Vaughn Turnpike Apt. 510,Lake Andrewview,MN,Belize,Packaging,4.0,2024-05-11
105,"Davis, Nixon and Stephenson",David Kirby,kdavis@parker-davis.com,767.665.9786x2552,7943 Robert Course Suite 438,Gonzalezberg,MN,Papua New Guinea,Distribution,4.6,2024-11-06
106,"Miller, Morrison and Butler",Anthony Wise,kimberly20@murphy-leon.biz,+1-953-245-6284x709,317 Hall Spring Suite 393,Kylehaven,WV,Guatemala,Import/Export,4.7,2025-03-16
107,Rangel PLC,Jennifer Wilson,katherinefranklin@kelly.com,5126095545,99725 Morris Spur Suite 462,Hayesville,ME,Sweden,Chemicals,2.3,2022-01-25
108,Silva-Perkins,Abigail Smith,wellspeter@bradley.com,410.892.2245x6516,1921 Bush Shore,Edwardport,MN,Australia,Raw Materials,2.8,2024-08-16
109,Walker-Kim,Nancy Clark,camposdustin@murphy.biz,001-910-239-1288,625 Daugherty Drives Apt. 949,West Henry,IA,Montenegro,Manufacturing,3.3,2022-06-19
110,Garcia-Hartman,Julie Phillips,combsheather@zavala.com,001-737-797-0670x125,09473 Le Views,Monicaburgh,OR,Svalbard & Jan Mayen Islands,Chemicals,3.4,2024-08-22
111,Horton-Brooks,Andrea Bell,ssanchez@king.net,227.616.4441,4863 Ramsey Ports,West Benjaminland,CA,Haiti,Raw Materials,4.4,2021-08-24
112,Holland LLC,Dillon Stewart,popestephen@rodriguez.biz,(495)488-6090,19372 Jillian Parkways,Westshire,UT,Palau,Manufacturing,2.5,2023-02-15
113,"Watkins, Chambers and Lee",Laura Burns,gregorynovak@black-brown.com,876-554-1966,356 Lopez Lodge Apt. 511,South Laurenmouth,WA,Morocco,Import/Export,1.7,2023-05-24
114,Barnes Inc,Philip Schmidt,brookschase@joseph.com,(785)290-8236,150 James Station Apt. 115,South Devin,NM,Israel,Wholesale,4.3,2021-09-21
115,Thomas-Huffman,Jaclyn Reyes,cynthia16@olson-gordon.com,(298)461-4988x4438,41838 Brooks Crossroad,West Adam,SC,Antigua and Barbuda,Import/Export,2.5,2023-02-16
116,Williams PLC,Michael Hines,patriciajacobs@wilkins-chambers.org,839.795.0096x1634,28013 Joshua Vista,Port Danielside,LA,Belarus,Technology,1.8,2022-01-15
117,Mccoy-Frey,Michael Wright,wilsontanya@pearson.org,415-496-9974x20185,39870 Donna Trace Suite 893,Duanebury,CA,Cocos (Keeling) Islands,Textiles,1.4,2026-01-30
118,"Gonzales, Mccarthy and Payne",Dana Grant,burnettheather@mckenzie.biz,(411)611-8004x74292,2235 Christine Loaf,Reyeschester,AS,Western Sahara,Textiles,1.9,2025-12-04
119,Boyd PLC,Jack Hunt,jamesstone@miller-rivera.org,+1-552-576-0848,2808 James Corners,South Luisfort,IL,Samoa,Manufacturing,5.0,2021-08-27
120,Branch-Hale,Gregory Brown,elloyd@robinson.net,954.294.8413x457,045 Patricia Row,Jasonport,NV,Netherlands Antilles,Wholesale,3.1,2025-11-06
121,"Kerr, Powell and Rodriguez",Alyssa Nguyen,garciakathy@pham-gomez.com,(556)861-3670x6252,00885 Rodriguez Lodge,Lake Tammyhaven,IL,Uruguay,Wholesale,1.5,2022-09-13
122,"Harvey, Wolfe and Hernandez",Christine Boone,antonioknox@horton.com,497.842.7455x0706,9705 Jessica Mountain,West Michellechester,AS,South Africa,Technology,1.8,2021-07-17
123,"Smith, Garza and Gordon",Melissa Acevedo,cookolivia@steele-smith.org,519-299-7286,09950 Jessica Plaza Suite 572,Marcuschester,AL,Saint Pierre and Miquelon,Distribution,2.2,2022-12-19
124,Mann Inc,Tracy Sanchez,cooperian@walsh.org,713.331.0274,26568 Ward Isle,Bryantmouth,MI,Tuvalu,Raw Materials,2.3,2024-03-14
125,"Martinez, Fox and Rodriguez",Matthew Glenn,jacobjohnson@walls.biz,209.895.2561x38716,775 Andrew Turnpike Apt. 512,Stevensonmouth,NC,Turks and Caicos Islands,Raw Materials,4.8,2022-05-06
126,"Osborne, Jackson and Todd",Brandon Marks,robertsoneric@payne-spears.com,287.770.9034,27689 Mosley Passage Suite 474,Kennedychester,VT,Lao People's Democratic Republic,Wholesale,3.1,2021-11-20
127,Walsh LLC,Timothy Maynard,grose@watson-steele.com,001-744-864-7258,7353 Hannah Tunnel Apt. 913,Rayborough,UT,Burundi,Technology,3.3,2022-02-16
128,"Ellis, Buckley and Smith",Eric Parrish,rebeccamiller@lynch.info,637-558-6227x38109,0501 Quinn Ridges,New Victorialand,MP,Oman,Technology,1.2,2024-02-16
129,Black-Fitzgerald,Justin Torres,noah98@moore.com,835-619-7432x081,95650 Henson Brooks Suite 440,Lake Kyleshire,MS,Tokelau,Agriculture,3.2,2021-11-22
130,Davis PLC,Jennifer Smith,ryan15@alexander.biz,(526)718-8347,04861 Natalie Oval Suite 741,Bennettfurt,IA,Palau,Chemicals,4.7,2022-12-24
131,Price PLC,John Oconnor,thompsonjeffrey@lyons-smith.com,2678747120,4745 Julie Walks,East Michael,AK,Myanmar,Wholesale,3.6,2021-08-12
132,"White, Myers and Torres",Kyle Carr,brian30@dyer.com,(807)525-3950x6655,3605 Stephen Drive Suite 947,Greeneville,VT,Mozambique,Manufacturing,4.6,2023-09-18
133,Nguyen Group,Tami Clayton,ashley50@cunningham.net,(553)547-0946x5081,9039 Stark Terrace Apt. 863,West Brandy,PA,Romania,Manufacturing,1.0,2024-05-14
134,Martinez Inc,Heidi Rhodes,russelljohn@jacobs.biz,(592)261-1729,8696 Darlene Highway Suite 058,North Nicole,AL,Guernsey,Agriculture,2.9,2022-05-31
135,"Robinson, Garcia and Clay",David Compton,douglaskathryn@pierce.com,001-255-736-4718x64529,651 Regina Forks,Ballstad,MH,Dominica,Technology,4.0,2021-12-14
136,"Brown, Petersen and Walter",Tracy Nguyen,kempemily@murphy.net,5896856942,1128 Blake Plains Apt. 879,Kevinfurt,PA,Russian Federation,Technology,2.8,2022-10-19
137,Blanchard Inc,Cathy Reilly,jessicapacheco@mendez-francis.com,001-690-422-9839x84868,42885 Melissa Forges,South Jessica,WI,Lithuania,Agriculture,3.0,2022-05-11
138,Carey-Jordan,Kevin Collier,rogersbryan@obrien.com,(487)761-8449,95341 Hampton Villages,Fieldsport,MT,Ghana,Import/Export,2.4,2024-06-19
139,"Williams, Caldwell and Johnson",Christopher Marshall,macdonaldheidi@clark.biz,(217)699-5749x880,75071 Timothy Bypass Suite 199,Hillstad,MS,Philippines,Packaging,3.1,2021-08-04
140,Leach-Chambers,Alyssa Gonzalez,alexalopez@rogers.com,001-629-486-5859x57151,59091 Sparks Estate,Scottberg,MN,Tunisia,Technology,4.2,2022-12-29
141,"Hatfield, Ochoa and Wiley",Jennifer Weaver,ogarcia@taylor.org,632.598.3725x808,0790 Vargas Course Suite 293,Christopherburgh,DE,Congo,Packaging,3.6,2025-10-20
142,"Crawford, Rogers and Santos",Teresa Perez,donald44@dougherty.com,(697)795-8774,3473 Kirk Fields Suite 343,New Kennethborough,UT,North Macedonia,Raw Materials,1.4,2025-01-26
143,"Smith, Hester and Miller",Elizabeth Hunt,peterewing@woodard.com,001-916-269-1352x2895,0338 Morgan Radial Suite 882,West Amandamouth,MS,Israel,Agriculture,4.9,2024-06-01
144,"Nguyen, Campbell and Ortiz",Hannah Brown,emartinez@sims.info,(361)835-2577,2516 Nicholas Crescent Suite 372,West Paulport,FL,Panama,Import/Export,1.5,2023-11-17
145,Francis LLC,Veronica Atkins,gregg69@williams-wang.com,732.267.7616,69123 Huff Cape,South Charlesview,SC,Korea,Manufacturing,1.5,2026-01-28
146,"Lopez, Olson and Brown",William Johnson,patrickparker@jones-davis.org,001-202-391-3022x2462,207 Wanda Run,Pughshire,AR,Germany,Agriculture,1.4,2022-11-15
147,Black and Sons,Melissa Leach,tiffanyrodriguez@davis.com,001-843-428-7718x228,929 Stephanie Hollow,South Kimberlyborough,SD,Panama,Import/Export,2.3,2023-11-29
148,"Lopez, Bryant and Hansen",Darlene Garcia,harrisrachel@adams.com,373.476.9955x302,224 Joseph Land,New Charleston,AZ,Sudan,Distribution,2.5,2025-02-17
149,"Johnson, Petersen and Fowler",Michael Clay,zwaters@martin-evans.com,(555)379-5877x9750,90067 Scott Forest Apt. 036,West Veronica,DE,Uganda,Manufacturing,3.3,2025-06-24
150,"Roman, Mitchell and Rodriguez",Joshua Cole,castillosusan@pena-cunningham.com,853-916-7513,32941 Black Prairie Apt. 166,Ryantown,ID,Timor-Leste,Technology,2.9,2025-03-15
151,Wells-Holland,Paul Gonzales,fcollins@martin.info,474-887-1306x6640,1565 Kaitlyn Brooks,Crawfordberg,NV,Micronesia,Wholesale,3.9,2023-11-29
152,Best-Ibarra,Omar Rocha,mbrown@petersen-williams.info,+1-297-375-5286,393 Castillo Row,Jonesbury,VI,Greenland,Packaging,4.5,2025-04-10
153,"Pollard, Freeman and Brown",Jessica Townsend,samantha27@lewis-morgan.com,248-285-4235,04389 Sharp Lane,Lake Robertville,NV,Russian Federation,Distribution,2.6,2021-07-10
154,"James, Ray and Marshall",Frederick Harris,esnyder@eaton.com,470-576-8349x05422,1728 Sanchez River Suite 278,Francoview,OK,Kuwait,Manufacturing,3.4,2025-06-07
